id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__dec422,dec422,ethergift.org,,Scamming,Trust-Trading,0x8d4426f94e42f721C7116E81d6688cd935cB3b4F
Csdb__ScamDomains__04b8fe,04b8fe,secure-give-eth.com,,Scamming,Trust-Trading,0xDfa8e0d144B1bD7B9f08Cd05A7726cC20121292f
Csdb__ScamDomains__896945,896945,quarkchain.pl,,Phishing,Quarkchain,0x7448dF6E1031d10e237b1481930a074B13FAAbD2
Csdb__ScamDomains__9e9d97,9e9d97,get-5001-ethereum.com,,Scamming,Trust-Trading,0x7D922A4f7F24fFcb130c4EEAF291A6475e3e4Dd2
Csdb__ScamDomains__767995,767995,get-5000-ethereum.com,,Scamming,Trust-Trading,0x1056d8d9EbB0E0d8710A0E2A1852d4A09d56464A
Csdb__ScamDomains__3062e7,3062e7,waves-ethereum-eth.org,,Scamming,Trust-Trading,0xfbb62df5cbc8d0bc4c2a0e5c53b8602d49471495
Csdb__ScamDomains__91089b,91089b,originprotocol.tokenpublicsales.com,,Phishing,Origin,0x903Dc47Aa7C40f9f59Ef1E5C167ce1A9B39a2bFF
Csdb__ScamDomains__fe23bc,fe23bc,ethgive.online,,Scamming,Trust-Trading,0x7DB9656FC8435F765DF5748E32Bf329098FfB5fb
Csdb__ScamDomains__7b2c4d,7b2c4d,ether.vu,,Scamming,Trust-Trading,0x5caa556D0b8Fa8622b1746BcC1211429737DCaFc
Csdb__ScamDomains__5ba9af,5ba9af,getnoweth.com,,Scamming,Trust-Trading,0x41075e21827263E149B8Bb26ff7eB5b185c7B0ca
Csdb__ScamDomains__83b73c,83b73c,m342edium.ethersforme.net,,Scamming,Trust-Trading,0x40949225c4a1745a9946F6AAf763241c082cb9ac
Csdb__ScamDomains__556134,556134,10000-eth.com,,Scamming,Trust-Trading,0x24F7ea54D9CDb021C0788Caab3c1796Aa8b2C161
Csdb__ScamDomains__615ade,615ade,ethsgive.com,,Scamming,Trust-Trading,0x89c0e39f3b3Be95c238912788687DBAebe7e6A2B
Csdb__ScamDomains__c6dbf5,c6dbf5,giveaway-ether.com,,Scamming,Trust-Trading,0xcc2c4c1b9bEe3E9AE45b5c9024c3d032387830b8
Csdb__ScamDomains__0a5a5a,0a5a5a,bonus.giftethers.com,,Scamming,Trust-Trading,0xB7f9FDB9f3f6142cF5e2b7bEE8AEbA059dfb091b
