id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__060ef8,060ef8,claimxrp.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__68d3ea,68d3ea,20xrp.tech,,Scamming,Trust-Trading,
Csdb__ScamDomains__aef216,aef216,giveawayseptember.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__38069a,38069a,receivexrp.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__577f6f,577f6f,xrpaway.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__081f9d,081f9d,geteth.live,,Scamming,Trust-Trading,
Csdb__ScamDomains__1ed6ec,1ed6ec,2020xrp.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__527945,527945,claimxrp.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__b1c31b,b1c31b,myxrp.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__fb32f1,fb32f1,ripple.re,,Scamming,Trust-Trading,
Csdb__ScamDomains__8222f9,8222f9,ledgerslive.web.app,,Phishing,Ledger,
Csdb__ScamDomains__50bce1,50bce1,ledgerlivewallet.000webhostapp.com,,Phishing,Ledger,
Csdb__ScamDomains__0563e9,0563e9,accountviewer-stellar.com,,Phishing,Stellar,
Csdb__ScamDomains__b4f7c8,b4f7c8,btcshower.com,,Scamming,Ponzi,
Csdb__ScamDomains__4ac099,4ac099,lk.forsage.io.giveaway-token-member.com,,Phishing,Giveaway,
Csdb__ScamDomains__79d38c,79d38c,miningbase.cloud,,Scamming,Miner,
Csdb__ScamDomains__2523c2,2523c2,muetherwallet.co,,Phishing,MyEtherWallet,
Csdb__ScamDomains__5892aa,5892aa,omisego.info,,Phishing,OmiseGo,
Csdb__ScamDomains__9cfdf4,9cfdf4,folbit.com,,Scamming,Exchange,
Csdb__ScamDomains__cc20ce,cc20ce,teslaearn.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__2143ed,2143ed,musk-event.online,,Scamming,Trust-Trading,
Csdb__ScamDomains__3b9e60,3b9e60,librasale.io,,Phishing,Libra,
Csdb__ScamDomains__cd5dde,cd5dde,zalbit.com,,Scamming,Exchange,
Csdb__ScamDomains__7e76fb,7e76fb,musk-event.tech,,Scamming,Trust-Trading,
Csdb__ScamDomains__b8d9c0,b8d9c0,fulcrum.repair,,Phishing,Fulcrum,
Csdb__ScamDomains__b0050e,b0050e,makerdao.redeem.fund,,Phishing,MakerDao,
Csdb__ScamDomains__0de626,0de626,kucoin-info.live,,Scamming,Trust-Trading,
Csdb__ScamDomains__e14eed,e14eed,elon.gifts,,Scamming,Trust-Trading,
Csdb__ScamDomains__f6ea37,f6ea37,getbtcx.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__58b373,58b373,simpleswap.org,,Scamming,Exchange,
Csdb__ScamDomains__017fe4,017fe4,cryptoxluck.com,,Scamming,Exchange,
Csdb__ScamDomains__ec2dd7,ec2dd7,paxful-verifier.com,,Phishing,Paxful,
Csdb__ScamDomains__c2d8e2,c2d8e2,paxful-fra.com,,Phishing,Paxful,
Csdb__ScamDomains__8a42d1,8a42d1,bitoprowallet.000webhostapp.com,,Phishing,Bitpro,
Csdb__ScamDomains__69975f,69975f,ftx-com-exchange-cryptocurrency.000webhostapp.com,,Phishing,Ftx,
Csdb__ScamDomains__534bb0,534bb0,pionex-com-exchange-giveaway.000webhostapp.com,,Phishing,Exchange,
Csdb__ScamDomains__7ee710,7ee710,paxfulsecured.com,,Phishing,Paxful,
Csdb__ScamDomains__7c1b65,7c1b65,paxful-ns.com,,Phishing,Paxful,
Csdb__ScamDomains__473afd,473afd,paxful-sl.com,,Phishing,Paxful,
Csdb__ScamDomains__4f59b0,4f59b0,my-paxful.com,,Phishing,Paxful,
Csdb__ScamDomains__be1d39,be1d39,xrpcontest.tumblr.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__0e7097,0e7097,fovbit.com,,Phishing,Exchange,
Csdb__ScamDomains__5866f8,5866f8,atomic.im,,Phishing,Atomic,
Csdb__ScamDomains__9893db,9893db,exodus.vc,,Phishing,Exodus,
Csdb__ScamDomains__a1abdb,a1abdb,spacexbtc.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__d6f4f8,d6f4f8,makerdao.redeem.bz,,Phishing,MakerDao,
Csdb__ScamDomains__7af546,7af546,btconline.io,,Scamming,Webminer,
Csdb__ScamDomains__c25ba0,c25ba0,ainbit.com,,Scamming,Exchange,
